refID,DI,TI.x,TI.y,TI_check,PY.x,PY.y,PY_check,SO,AU,AU_UN,country_refsplitr,AU1_CO,CO,code_refsplitr,code_AU1_CO,code_CO,country_v_AU1_CO,country_v_CO,AU1_CO_v_CO
6491,10.1016/j.wneu.2019.08.167,"adult outcome in shunted pediatric hydrocephalus: long-term functional, social, and neurocognitive results","adult outcome in shunted pediatric hydrocephalus: long-term functional, social, and neurocognitive results",TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,GMEINER M;WAGNER H;SCHLOGL C;VAN OUWERKERK WJR;SENKER W;SARDI G;RAUCH P;HOLL K;GRUBER A,KEPLER UNIV HOSP;JOHANNES KEPLER UNIV JKU LINZ;JOHANNES KEPLER UNIV LINZ;KEPLER UNIV HOSP;VRIJE UNIV,austria,AUSTRIA,AUSTRIA,AUT,AUT,AUT,TRUE,TRUE,TRUE
6492,10.1016/j.wneu.2019.08.152,transcranial insertion of atlas facetal screw for atlantoaxial fixation,transcranial insertion of atlas facetal screw for atlantoaxial fixation,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,GOEL A;PRASAD A;SHAH A;PATIL A;VUTHA R;RANJAN S,KING EDWARD MEM HOSP;SETH GORDHANDAS SUNDERDAS MED COLL;LILAVATI HOSP AND RES CTR,india,INDIA,INDIA,IND,IND,IND,TRUE,TRUE,TRUE
6493,10.1016/j.wneu.2019.08.032,independent risk factors for postoperative seizures in chronic subdural hematoma identified by multiple logistic regression analysis,independent risk factors for postoperative seizures in chronic subdural hematoma identified by multiple logistic regression analysis,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,GOERTZ L;SPEIER J;SCHULTE AP;STAVRINOU P;KRISCHEK B;GOLDBRUNNER R;TIMMER M,UNIV COLOGNE;UNIV COLOGNE,germany,GERMANY,GERMANY,DEU,DEU,DEU,TRUE,TRUE,TRUE
6494,10.1016/j.wneu.2019.08.191,bibliometric and visualized analysis of stem cells therapy for spinal cord injury based on web of science and citespace in the last 20 years,bibliometric and visualized analysis of stem cells therapy for spinal cord injury based on web of science and citespace in the last 20 years,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,GUO SM;WANG L;XIE YJ;LUO X;ZHANG SJ;XIONG LB;AI HB;YUAN ZH;WANG JX,SOUTHWEST MED UNIV;SOUTHWEST MED UNIV;HOSP MIANZHU CITY;MIANYANG CENT HOSP;THIRD HOSP MIANYANG,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
6495,10.1016/j.wneu.2019.08.232,noninvasive o-6 methylguanine-dna methyltransferase status prediction in glioblastoma multiforme cancer using magnetic resonance imaging radiomics features: univariate and multivariate radiogenomics analysis,noninvasive o-6 methylguanine-dna methyltransferase status prediction in glioblastoma multiforme cancer using magnetic resonance imaging radiomics features: univariate and multivariate radiogenomics analysis,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,HAJIANFAR G;SHIRI I;MALEKI H;OVEISI N;HAGHPARAST A;ABDOLLAHI H;OVEISI M,KERMANSHAH UNIV MED SCI;IRAN UNIV MED SCI;GENEVA UNIV HOSP;UNIV BRITISH COLUMBIA;UNIV BRITISH COLUMBIA;KERMAN UNIV MED SCI,iran,IRAN,IRAN,IRN,IRN,IRN,TRUE,TRUE,TRUE
6496,10.1016/j.wneu.2019.08.085,a rat model of neurocysticercosis-induced hydrocephalus: chronic progressive hydrocephalus with mild clinical impairment,a rat model of neurocysticercosis-induced hydrocephalus: chronic progressive hydrocephalus with mild clinical impairment,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,HAMAMOTO PT;FOGAROLI MO;OLIVEIRA MAC;OLIVEIRA CC;BATAH SS;FABRO AT;VULCANO LC;BAZAN R;ZANINI MA,BOTUCATU MED SCH;BOTUCATU MED SCH;UNIV SAO PAULO;UNIV ESTADUAL PAULISTA,brazil,BRAZIL,BRAZIL,BRA,BRA,BRA,TRUE,TRUE,TRUE
6497,10.1016/j.wneu.2019.08.030,timing of surgical decompression for cauda equina syndrome,timing of surgical decompression for cauda equina syndrome,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,HOGAN WB;KURIS EO;DURAND WM;ELTORAI AEM;DANIELS AH,BROWN UNIV,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
6498,10.1016/j.wneu.2019.08.130,impact of mechanical thrombectomy device on thrombus histology in acute embolic stroke,impact of mechanical thrombectomy device on thrombus histology in acute embolic stroke,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,HORIE N;SHOBAYASHI K;MOROFUJI Y;SADAKATA E;IKI Y;MATSUNAGA Y;KANAMOTO T;TATEISHI Y;IZUMO T;ANDA T;MORIKAWA M;TSUJINO A;MATSUO T,NAGASAKI UNIV;NAGASAKI UNIV;NAGASAKI UNIV,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
6499,10.1016/j.wneu.2019.08.231,cervical myelopathy without symptoms in the upper extremities: incidence and presenting characteristics,cervical myelopathy without symptoms in the upper extremities: incidence and presenting characteristics,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,HOUTEN JK;PASTERNACK J;NORTON RP,MAIMONIDES HOSP;MAIMONIDES HOSP;HOFSTRA NORTHWELL SCH MED;FLORIDA ATLANTIC UNIV,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
6500,10.1016/j.wneu.2019.08.048,"meteorological variation is a predisposing factor for aneurismal subarachnoid hemorrhage: a 5-year multicenter study in fuzhou, china","meteorological variation is a predisposing factor for aneurismal subarachnoid hemorrhage: a 5-year multicenter study in fuzhou, china",TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,HUANG Q;LIN SW;HU WP;LI HY;YAO PS;SUN Y;ZENG YL;HUANG QY;KANG DZ;WU SY,FUJIAN MED UNIV;FUJIAN MED UNIV;FUJIAN MED UNIV,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
6501,10.1016/j.wneu.2019.08.252,treatment risk for elderly patients with unruptured cerebral aneurysm from a nationwide database in japan,treatment risk for elderly patients with unruptured cerebral aneurysm from a nationwide database in japan,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,IKAWA F;MICHIHATA N;AKIYAMA Y;IIHARA K;MATANO F;MORITA A;KATO Y;IIDA K;KURISU K;FUSHIMI K;YASUNAGA H,HIROSHIMA UNIV;UNIV TOKYO;SHIMANE UNIV;KYUSHU UNIV;NIPPON MED COLL HOSP;FUJITA HLTH UNIV;TOKYO MED AND DENT UNIV,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
6502,10.1016/j.wneu.2019.08.131,safety and efficacy evaluation of aspiration thrombectomy with large bore catheters in a porcine model,safety and efficacy evaluation of aspiration thrombectomy with large bore catheters in a porcine model,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,JANKOWITZ BT;GROSS BA;MINTZ E;JALGAONKAR U;MARCHESIELLO D;GIRDHAR G;JADHAV AP;JOVIN TG,STROKE INST;UNIV PITTSBURGH;UNIV PITTSBURGH;COOPER NEUROL INST,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
6503,10.1016/j.wneu.2019.08.256,outcome of microsurgery for arteriovenous malformations in a resource-restricted environment: single-surgeon series from vietnam,outcome of microsurgery for arteriovenous malformations in a resource-restricted environment: single-surgeon series from vietnam,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,JEAN WC;HUYNH T;TAI AX;FELBAUM DR;SYED HR;NGO HM,GEORGE WASHINGTON UNIV;GEORGETOWN UNIV HOSP;RUTGERS NEW JERSEY MED SCH;UNIV VIRGINIA;VIET DUC HOSP,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
6504,10.1016/j.wneu.2019.08.031,clinical efficacy of optical coherence tomography to predict the visual outcome after endoscopic endonasal surgery for suprasellar tumors,clinical efficacy of optical coherence tomography to predict the visual outcome after endoscopic endonasal surgery for suprasellar tumors,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,JEON C;PARK KA;HONG SD;CHOI JW;SEOL HJ;NAM DH;LEE JI;SHIN HJ;KONG DS,SUNGKYUNKWAN UNIV;SUNGKYUNKWAN UNIV;SUNGKYUNKWAN UNIV,south korea,KOREA,KOREA,KOR,KOR,KOR,TRUE,TRUE,TRUE
6505,10.1016/j.wneu.2019.08.078,multispectrum indocyanine green videography for visualizing brain vascular pathology,multispectrum indocyanine green videography for visualizing brain vascular pathology,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,KAMADA K;GUGER C;TAKEUCHI F,MEGUMINO HOSP;ADV TELECOMMUN RES INST INT;ASAHIKAWA MED UNIV;GTAC GEGER TECHNOL AG,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
6506,10.1016/j.wneu.2019.09.026,discharge disposition after anterior cervical discectomy and fusion,discharge disposition after anterior cervical discectomy and fusion,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,KARHADE AV;OGINK PT;THIO QCBS;CHA TD;HERSHMAN SH;SCHOENFELD AJ;BONO CM;SCHWAB JH,HARVARD MED SCH;HARVARD MED SCH,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
6507,10.1016/j.wneu.2019.08.051,preservation of olfactory function following endoscopic single-nostril transseptal transsphenoidal surgery,preservation of olfactory function following endoscopic single-nostril transseptal transsphenoidal surgery,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,KAWABATA T;TAKEUCHI K;NAGATA Y;ISHIKAWA T;CHOO J;SATO Y;TAMBARA M;TERANISHI M;WAKABAYASHI T,NAGOYA UNIV;NAGOYA UNIV;CHUKYO HOSP;FUKUSHIMA MED UNIV;OKAZAKI CITY HOSP,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
6508,10.1016/j.wneu.2019.08.059,predictors of the resolution of cavernous sinus syndrome caused by large/giant cavernous carotid aneurysms after parent artery occlusion with high-flow bypass,predictors of the resolution of cavernous sinus syndrome caused by large/giant cavernous carotid aneurysms after parent artery occlusion with high-flow bypass,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,KIKKAWA Y;KAYAHARA T;TERANISHI A;SHIBATA A;SUZUKI K;KAMIDE T;IKEDA T;KURITA H,SAITAMA MED UNIV;SAITAMA PREFECTURE CARDIOVASC AND RESP CTR,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
6509,10.1016/j.wneu.2019.08.151,safety and feasibility of using argatroban immediately after mechanical thrombectomy for large artery occlusion,safety and feasibility of using argatroban immediately after mechanical thrombectomy for large artery occlusion,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,KIM J;YI HJ;LEE DH;SUNG JH,CATHOLIC UNIV KOREA;HALLYM UNIV,south korea,KOREA,KOREA,KOR,KOR,KOR,TRUE,TRUE,TRUE
6510,10.1016/j.wneu.2019.08.092,the impact of microelectrode recording on lead location in deep brain stimulation for the treatment of movement disorders,the impact of microelectrode recording on lead location in deep brain stimulation for the treatment of movement disorders,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,KOCHANSKI RB;BUS S;BRAHIMAJ B;BORGHEI A;KRAIMER KL;KEPPETIPOLA KM;BEEHLER B;PAL G;METMAN LV;SANI S,RUSH UNIV;RUSH UNIV,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
6511,10.1016/j.wneu.2019.08.148,accuracy of radiomics-based feature analysis on multiparametric magnetic resonance images for noninvasive meningioma grading,accuracy of radiomics-based feature analysis on multiparametric magnetic resonance images for noninvasive meningioma grading,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,LAUKAMP KR;SHAKIRIN G;BAESSLER B;THIELE F;ZOPFS D;HOKAMP NG;TIMMER M;KABBASCH C;PERKUHN M;BORGGREFE J,UNIV HOSP COLOGNE;UNIV HOSP COLOGNE;UNIV HOSP CLEVELAND MED CTR;CASE WESTERN RESERVE UNIV;PHILIPS RES EUROPE,germany,GERMANY,GERMANY,DEU,DEU,DEU,TRUE,TRUE,TRUE
6512,10.1016/j.wneu.2019.08.061,could the splitting of the annulus during percutaneous endoscopic lumbar diskectomy (peld) be a culprit for recurrent disk herniation?: an analysis of the reherniation pattern after peld,could the splitting of the annulus during percutaneous endoscopic lumbar diskectomy (peld) be a culprit for recurrent disk herniation?: an analysis of the reherniation pattern after peld,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,LEE JH;CHOI KC;LEE JH,NAMDARUN REHABIL CLIN;LEON WILTSE MEM HOSP;KYUNG HEE UNIV,south korea,KOREA,KOREA,KOR,KOR,KOR,TRUE,TRUE,TRUE
6513,10.1016/j.wneu.2019.08.067,delayed cerebrospinal fluid leakage after treatment of skull base tumors: case series of 9 patients,delayed cerebrospinal fluid leakage after treatment of skull base tumors: case series of 9 patients,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,LEE JJ;KIM HY;DHONG HJ;CHUNG SK;KONG DS;NAM DH;SO YK;HONG SD,SUNGKYUNKWAN UNIV;SUNGKYUNKWAN UNIV;INJE UNIV,south korea,KOREA,KOREA,KOR,KOR,KOR,TRUE,TRUE,TRUE
6514,10.1016/j.wneu.2019.08.042,mirroring with indocyanine green angiography in aneurysm surgery: technical note and case presentations,mirroring with indocyanine green angiography in aneurysm surgery: technical note and case presentations,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,LEE Y;KIM M;PARK J;KIM BJ;SON W;JUNG S,KYUNGPOOK NATL UNIV;KYUNGPOOK NATL UNIV;KYUNGPOOK NATL UNIV HOSP,south korea,KOREA,KOREA,KOR,KOR,KOR,TRUE,TRUE,TRUE
6515,10.1016/j.wneu.2019.08.117,galectin-9: a predictive biomarker negatively regulating immune response in glioma patients,galectin-9: a predictive biomarker negatively regulating immune response in glioma patients,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,LIANG TY;WANG XX;WANG F;FENG ES;YOU G,CAPITAL MED UNIV;CAPITAL MED UNIV;CAPITAL MED UNIV,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
6516,10.1016/j.wneu.2019.09.009,long-term outcomes of gamma knife radiosurgery for cystic vestibular schwannomas,long-term outcomes of gamma knife radiosurgery for cystic vestibular schwannomas,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,LIM SH;PARK CK;PARK BJ;LIM YJ,KYUNG HEE UNIV;KYUNG HEE UNIV,south korea,KOREA,KOREA,KOR,KOR,KOR,TRUE,TRUE,TRUE
6517,10.1016/j.wneu.2019.08.089,risk factors for recurrence of chronic subdural hematoma: a single center experience,risk factors for recurrence of chronic subdural hematoma: a single center experience,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,LIU LX;CAO XD;REN YM;ZHOU LX;YANG CH,SICHUAN UNIV;PEOPLES HOSP TIBET AUTONOMOUS REG,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
6518,10.1016/j.wneu.2019.08.064,persistently high serum substance p levels and early mortality in patients with severe traumatic brain injury,persistently high serum substance p levels and early mortality in patients with severe traumatic brain injury,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,LORENTE L;MARTIN MM;PEREZ-CEJAS A;GONZALEZ-RIVERO AF;ARGUESO M;RAMOS L;SOLE-VIOLAN J;CACERES JJ;JIMENEZ A;GARCIA-MARIN V,HOSP UNIV CANARIAS;HOSP UNIV CANARIAS;HOSP UNIV CANARIAS;HOSP UNIV CANARIAS;HOSP UNIV NUESTRA SENORA CANDELARIA;HOSP CLIN UNIV VALENCIA;HOSP GEN LA PALMA;HOSP UNIV DR NEGRIN;HOSP INSULAR,spain,SPAIN,SPAIN,ESP,ESP,ESP,TRUE,TRUE,TRUE
6519,10.1016/j.wneu.2019.08.060,high serum scd40l levels during the first week of malignant middle cerebral artery infarction and mortality,high serum scd40l levels during the first week of malignant middle cerebral artery infarction and mortality,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,LORENTE L;MARTIN MM;GONZALEZ-RIVERO AF;SABATEL R;RAMOS L;ARGUESO M;CACERES JJ;SOLE-VIOLAN J;ALVAREZ-CASTILLO A;JIMENEZ A;BORREGUERO-LEON JM;GARCIA-MARIN V,HOSP UNIV CANARIAS;HOSP UNIV CANARIAS;HOSP UNIV CANARIAS;HOSP UNIV CANARIAS;HOSP UNIV CANARIAS;HOSP UNIV NUESTRA SENORA CANDELARIA;HOSP GEN LA PALMA;HOSP CLIN UNIV VALENCIA;HOSP INSULAR;HOSP UNIV DR NEGRIN,spain,SPAIN,SPAIN,ESP,ESP,ESP,TRUE,TRUE,TRUE
6520,10.1016/j.wneu.2019.08.195,long-term functional outcome after surgical treatment of peroneal intraneural ganglion cyst,long-term functional outcome after surgical treatment of peroneal intraneural ganglion cyst,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,LUCATTELLI E;MENICHINI G;BROGI M;ROSELLI G;INNOCENTI M,CAREGGI UNIV HOSP;CAREGGI UNIV HOSP,italy,ITALY,ITALY,ITA,ITA,ITA,TRUE,TRUE,TRUE
6521,10.1016/j.wneu.2019.08.175,time to and possible risk factors for recurrence after burr-hole drainage of chronic subdural hematoma: a subanalysis of the csdh-drain randomized controlled trial,time to and possible risk factors for recurrence after burr-hole drainage of chronic subdural hematoma: a subanalysis of the csdh-drain randomized controlled trial,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,LUTZ K;KAMENOVA M;SCHAEDELIN S;GUZMAN R;MARIANI L;FANDINO J;SOLEMAN J,UNIV BASEL;UNIV HOSP BASEL;UNIV HOSP BASEL,switzerland,SWITZERLAND,SWITZERLAND,CHE,CHE,CHE,TRUE,TRUE,TRUE
6522,10.1016/j.wneu.2019.09.006,anterolateral approach for retrostyloid superior parapharyngeal space schwannomas involving the jugular foramen area: a 20-year experience,anterolateral approach for retrostyloid superior parapharyngeal space schwannomas involving the jugular foramen area: a 20-year experience,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,LUZZI S;LUCIFERO AG;DEL MAESTRO M;MARFIA G;NAVONE SE;BALDONCINI M;NUNEZ M;CAMPERO A;ELBABAA SK;GALZIO R,UNIV PAVIA;DEPT SURG SCI;UNIV PAVIA;EXPT NEUROSURG AND CELL THERAPY LAB;INST AEROSP MED;UNIV BUENOS AIRES;SAN FERNANDO HOSP;HOSP EL CRUCE;UNIV NACL TUCUMAN;HOSP PADILLA;PEDIAT NEUROSCI CTR EXCELLENCE,italy,ITALY,ITALY,ITA,ITA,ITA,TRUE,TRUE,TRUE
6523,10.1016/j.wneu.2019.08.192,rescue intracranial stenting after failed mechanical thrombectomy for acute ischemic stroke: a systematic review and meta-analysis,rescue intracranial stenting after failed mechanical thrombectomy for acute ischemic stroke: a systematic review and meta-analysis,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,MAINGARD J;PHAN K;LAMANNA A;KOK HK;BARRAS CD;RUSSELL J;HIRSCH JA;CHANDRA RV;THIJS V;BROOKS M;ASADI H,DEAKIN UNIV;PRINCE WALES PRIVATE HOSP;AUSTIN HOSP;AUSTIN HOSP;NORTHERN HOSP;SOUTH AUSTRALIAN INST HLTH AND MED RES;UNIV ADELAIDE;HARVARD MED SCH;MONASH UNIV;UNIV MELBOURNE;UNIV MELBOURNE,australia,AUSTRALIA,AUSTRALIA,AUS,AUS,AUS,TRUE,TRUE,TRUE
6524,10.1016/j.wneu.2019.08.071,transopercular resection of idh-mutated insular glioma: a critical appraisal of an initial experience,transopercular resection of idh-mutated insular glioma: a critical appraisal of an initial experience,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,MANDONNET E,LARIBOISIERE HOSP;FRONTLAB,france,FRANCE,FRANCE,FRA,FRA,FRA,TRUE,TRUE,TRUE
6525,10.1016/j.wneu.2019.08.090,brain injury biomarker behavior in spontaneous intracerebral hemorrhage,brain injury biomarker behavior in spontaneous intracerebral hemorrhage,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,FERRETE-ARAUJO AM;RODRIGUEZ-RODRIGUEZ A;EGEA-GUERRERO JJ;VILCHES-ARENAS A;GODOY DA;MURILLO-CABEZAS F,UNIV SEVILLE;UNIV SEVILLE;SAN JUAN BAUTISTA HOSP,spain,SPAIN,SPAIN,ESP,ESP,ESP,TRUE,TRUE,TRUE
6526,10.1016/j.wneu.2019.08.114,patients with parkinson disease experience increased perioperative complications following cervical decompression and fusion: a retrospective review of the national inpatient sample,patients with parkinson disease experience increased perioperative complications following cervical decompression and fusion: a retrospective review of the national inpatient sample,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,MILLER WK;CARAS A;MANSOUR TR;MIERZWA A;MUGGE L;QU WK;SCHROEDER J,UNIV TOLEDO;UNIV TOLEDO,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
6527,10.1016/j.wneu.2019.08.235,natural history and growth patterns of incidentally discovered diffusely infiltrating low-grade gliomas: a volumetric study,natural history and growth patterns of incidentally discovered diffusely infiltrating low-grade gliomas: a volumetric study,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,OPOKU-DARKO M;EAGLES ME;CADIEUX M;ISAACS AM;KELLY JJP,UNIV CALGARY;UNIV CALGARY,canada,CANADA,CANADA,CAN,CAN,CAN,TRUE,TRUE,TRUE
6528,10.1016/j.wneu.2019.08.136,gamma knife radiosurgery for postoperative remnant meningioma: analysis of recurrence factors according to world health organization grade,gamma knife radiosurgery for postoperative remnant meningioma: analysis of recurrence factors according to world health organization grade,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,PARK CK;JUNG NY;CHANG WS;JUNG HH;CHANG JW,KYUNG HEE UNIV;YONSEI UNIV;UNIV ULSAN,south korea,KOREA,KOREA,KOR,KOR,KOR,TRUE,TRUE,TRUE
6529,10.1016/j.wneu.2019.09.020,electromyographic response of facial nerve stimulation under partial neuromuscular blockade during resection of vestibular schwannoma,electromyographic response of facial nerve stimulation under partial neuromuscular blockade during resection of vestibular schwannoma,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,RAN G;CHEN KZ;HUANG YZ;HU CB;SHEN X,FUDAN UNIV,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
6530,10.1016/j.wneu.2019.08.182,lessons learned from the initial experience with pedicled temporoparietal fascial flap for combined revascularization in moyamoya angiopathy: a case series,lessons learned from the initial experience with pedicled temporoparietal fascial flap for combined revascularization in moyamoya angiopathy: a case series,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,RAVINA K;KIM PE;RENNERT RC;WOLFSWINKEL EM;STRICKLAND B;CAREY JN;RUSSIN JJ,UNIV SOUTHERN CALIF;UNIV SOUTHERN CALIF;UNIV SOUTHERN CALIF;UNIV SOUTHERN CALIF;UNIV CALIF SAN DIEGO,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
6531,10.1016/j.wneu.2019.08.087,outcomes after minimally invasive parafascicular surgery for intracerebral hemorrhage: a single-center experience,outcomes after minimally invasive parafascicular surgery for intracerebral hemorrhage: a single-center experience,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,RUTKOWSKI M;SONG I;MACK W;ZADA G,UNIV SOUTHERN CALIF,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
6532,10.1016/j.wneu.2019.08.259,endoscopic versus microscopic transcallosal excision of colloid cysts: a systematic review in the era of complete endoscopic excision,endoscopic versus microscopic transcallosal excision of colloid cysts: a systematic review in the era of complete endoscopic excision,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,SETHI A;CAVALCANTE D;ORMOND DR,UNIV COLORADO,usa,USA,USA,USA,USA,USA,TRUE,TRUE,TRUE
6533,10.1016/j.wneu.2019.08.208,posterior screw-rod fixation and selective axial loosening for the treatment of atlantoaxial instability or dislocation caused by os odontoideum: a case series for a single posterior approach,posterior screw-rod fixation and selective axial loosening for the treatment of atlantoaxial instability or dislocation caused by os odontoideum: a case series for a single posterior approach,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,SHAO J;GAO YZ;GAO K;YU ZH,HENAN PROV PEOPLES HOSP,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
6534,10.1016/j.wneu.2019.08.142,comparison of clinical and radiologic characteristics and prognosis of patients with chronic subdural hematoma with and without a history of head trauma,comparison of clinical and radiologic characteristics and prognosis of patients with chronic subdural hematoma with and without a history of head trauma,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,SHEN J;SHAO XF;WANG QF;GE RX;ZHANG JN,TIANJIN MED UNIV;WANNAN MED COLL,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
6535,10.1016/j.wneu.2019.08.135,anatomical feasibility of right oblique approach for l5-s1 oblique lumbar interbody fusion,anatomical feasibility of right oblique approach for l5-s1 oblique lumbar interbody fusion,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,SONG SJ;SHIN MH;KIM JT,CATHOLIC UNIV,south korea,KOREA,KOREA,KOR,KOR,KOR,TRUE,TRUE,TRUE
6537,10.1016/j.wneu.2019.08.243,endonasal endoscopic and transoral approaches to the craniovertebral junction and the clival region: a comparative anatomical study,endonasal endoscopic and transoral approaches to the craniovertebral junction and the clival region: a comparative anatomical study,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,SPINA A;GAGLIARDI F;ABARCA-OLIVAS J;BAILO M;BOARI N;GONZALEZ-LOPEZ P;GRAGNANIELLO C;CAPUTY AJ;MORTINI P,UNIV VITA SALUTE SAN RAFFAELE;MIGUEL HERNANDEZ UNIV;GEORGE WASHINGTON UNIV,italy,ITALY,ITALY,ITA,ITA,ITA,TRUE,TRUE,TRUE
6538,10.1016/j.wneu.2019.08.049,linac-based fractionated stereotactic radiotherapy with a micro-multileaf collimator for brainstem metastasis,linac-based fractionated stereotactic radiotherapy with a micro-multileaf collimator for brainstem metastasis,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,SUGIMOTO T;MATSUDA R;TAMAMOTO T;HONTSU S;YAMAKI K;MIURA S;PARK YS;NAKASE H;HASEGAWA M,OSAKA GEN MED CTR;NARA MED UNIV;NARA MED UNIV;NARA MED UNIV,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
6539,10.1016/j.wneu.2019.08.077,analysis of temporobasal vein with short subdural segment for anterior transpetrosal approach,analysis of temporobasal vein with short subdural segment for anterior transpetrosal approach,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,TAMURA R;TODA M;MORIMOTO Y;SATO M;AKIYAMA T;YOSHIDA K,KEIO UNIV,japan,JAPAN,JAPAN,JPN,JPN,JPN,TRUE,TRUE,TRUE
6540,10.1016/j.wneu.2019.08.068,preoperative neutrophil/lymphocyte ratio is an independent prognostic biomarker in patients with low-grade gliomas,preoperative neutrophil/lymphocyte ratio is an independent prognostic biomarker in patients with low-grade gliomas,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,TAN ZH;SHEN LF;WU HJ;DENG L;LI ZZ;HUANG XQ,CENT S UNIV,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
6541,10.1016/j.wneu.2019.08.029,efficacy and safety of high-viscosity bone cement vertebroplasty in treatment of osteoporotic vertebral compression fractures with intravertebral cleft,efficacy and safety of high-viscosity bone cement vertebroplasty in treatment of osteoporotic vertebral compression fractures with intravertebral cleft,TRUE,2019,2019,TRUE,WORLD NEUROSURGERY,TANG SH;FU WJ;ZHANG HD;ZHANG HN;LIANG BR,SOUTHERN MED UNIV,peoples r china,CHINA,CHINA,CHN,CHN,CHN,TRUE,TRUE,TRUE
